Core: mem0_altera_emif_arch_nd_191_w7pjeta - Instance: u50|u0|emif_s10_0
Path, Setup Margin, Hold Margin
"Address/Command (2 Slow vid2 100C Model)",0.176,0.176
"Core (2 Slow vid2 100C Model)",0.612,0.135
"Core Recovery/Removal (2 Slow vid2 100C Model)",1.334,1.199
"DQS Gating (2 Slow vid2 100C Model)",0.113,0.113
"Read Capture (2 Slow vid2 100C Model)",0.013,0.013
"Write (2 Slow vid2 100C Model)",0.038,0.038
"Write Levelling (2 Slow vid2 100C Model)",0.13,0.13
"Address/Command (2 Slow vid2 0C Model)",0.176,0.176
"Core (2 Slow vid2 0C Model)",0.721,0.07
"Core Recovery/Removal (2 Slow vid2 0C Model)",1.325,1.185
"DQS Gating (2 Slow vid2 0C Model)",0.113,0.113
"Read Capture (2 Slow vid2 0C Model)",0.013,0.013
"Write (2 Slow vid2 0C Model)",0.038,0.038
"Write Levelling (2 Slow vid2 0C Model)",0.13,0.13
"Address/Command (Slow 900mV 0C Model)",0.176,0.176
"Core (Slow 900mV 0C Model)",0.442,0.003
"Core Recovery/Removal (Slow 900mV 0C Model)",1.037,1.351
"DQS Gating (Slow 900mV 0C Model)",0.113,0.113
"Read Capture (Slow 900mV 0C Model)",0.013,0.013
"Write (Slow 900mV 0C Model)",0.038,0.038
"Write Levelling (Slow 900mV 0C Model)",0.13,0.13
"Address/Command (Fast 900mV 100C Model)",0.176,0.176
"Core (Fast 900mV 100C Model)",0.603,0.068
"Core Recovery/Removal (Fast 900mV 100C Model)",1.646,1.03
"DQS Gating (Fast 900mV 100C Model)",0.113,0.113
"Read Capture (Fast 900mV 100C Model)",0.013,0.013
"Write (Fast 900mV 100C Model)",0.038,0.038
"Write Levelling (Fast 900mV 100C Model)",0.13,0.13
"Address/Command (Fast 900mV 0C Model)",0.176,0.176
"Core (Fast 900mV 0C Model)",1.008,0.09
"Core Recovery/Removal (Fast 900mV 0C Model)",1.838,0.888
"DQS Gating (Fast 900mV 0C Model)",0.113,0.113
"Read Capture (Fast 900mV 0C Model)",0.013,0.013
"Write (Fast 900mV 0C Model)",0.038,0.038
"Write Levelling (Fast 900mV 0C Model)",0.13,0.13
